"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cox7a2l",1.38462555720607e-29,0.475438546008057,1,1,2.15696969301561e-25
"Osbpl1a",1.41612263690434e-29,-0.347532979687874,1,1,2.20603584376957e-25
"Ddr1",1.42401832420101e-29,-0.354512448613246,1,1,2.21833574544034e-25
"Fsd1",1.47656556788609e-29,-0.108346599576024,1,1,2.30019384165295e-25
"Rbp1",1.52391898779422e-29,-2.36605664134936,1,1,2.37396099918584e-25
"Cavin1",1.53086655680219e-29,0.746254811506502,1,1,2.38478392218645e-25
"Wdr25",1.53841631178302e-29,0.0989950751360735,1,1,2.39654493049559e-25
"2810403G07Rik",1.55187543502511e-29,0.0693897728392203,1,1,2.41751155268211e-25
"Zfp697",1.57287119262593e-29,0.206081129836706,1,1,2.45021874387268e-25
"Tbx18",1.58216557550577e-29,0.460995564533897,1,1,2.46469753352289e-25
"Dpf1",1.62454584199074e-29,0.2026839639856,1,1,2.53071751265318e-25
"Dennd2a",1.65606797174593e-29,-0.32611743215019,1,1,2.5798226863858e-25
"Mkrn1",1.66525206276516e-29,-0.390997162334241,1,1,2.59412966337556e-25
"Arv1",1.74273974424666e-29,-0.135277421510142,1,1,2.71483997358745e-25
"Pfkl",1.94423080049544e-29,0.518969887965471,1,1,3.0287227410118e-25
"Txnl1",1.96111894748398e-29,-0.713225102906459,1,1,3.05503109639054e-25
"Bod1",1.99552509563022e-29,-0.569628179195071,1,1,3.10862899397275e-25
"S1pr2",2.12474010757473e-29,-0.28755185442459,1,1,3.30992013957991e-25
"Srp14",2.16506832310662e-29,-0.668647925991183,1,1,3.3727434337355e-25
"Chst15",2.19500649815306e-29,0.310057985549087,1,1,3.41938112282284e-25
"Nvl",2.20625185344391e-29,0.363081267521582,1,1,3.43689913729493e-25
"Inppl1",2.22328358591716e-29,-0.481629052821855,1,1,3.46343117014175e-25
"Galr2",2.30474431509222e-29,0.0614821409930775,1,1,3.59033069405065e-25
"Timm44",2.3292253296856e-29,0.575277386933165,1,1,3.62846721858423e-25
"Dusp22",2.33237321176799e-29,0.275001285165341,1,1,3.63337098929218e-25
"Ncam1",2.35055171451106e-29,-1.24484532754782,1,1,3.66168946086533e-25
"Gm45890",2.37580634665654e-29,0.0590896547044517,1,1,3.70103112682155e-25
"Zfp160",2.50332208613995e-29,0.288016643317697,1,1,3.89967514578882e-25
"Cep170",2.76682949758075e-29,-0.389787754404845,1,1,4.31016699133129e-25
"Liph",2.77813965277859e-29,0.0426204168227651,1,1,4.32778595109849e-25
"E330009J07Rik",2.88369539360871e-29,0.116764684183124,1,1,4.49222068416366e-25
"Apol8",2.94565491821854e-29,-0.21530832319213,1,1,4.58874123160084e-25
"Rcbtb2",3.07455941318636e-29,-0.240999567891817,1,1,4.78954865386171e-25
"Sept5",3.07650454182577e-29,-0.181620355898759,1,1,4.79257877525618e-25
"Ctu1",3.10903277980908e-29,0.123640125175771,1,1,4.84325126438658e-25
"Dgkh",3.11005135067399e-29,-0.379992512668127,1,1,4.84483799407993e-25
"Rnf121",3.1270583456807e-29,-0.345242913605155,1,1,4.8713314909014e-25
"Hspa1a",3.1752884282267e-29,-0.212471684918672,1,1,4.94646431349155e-25
"Golt1b",3.38125218036952e-29,-0.362266479547241,1,1,5.26731464657963e-25
"Mylk",3.63446182629494e-29,-1.97811003021598,1,1,5.66176463300226e-25
"Fkbp7",3.65097596313773e-29,-0.610143368904197,1,1,5.68749035537596e-25
"9430060I03Rik",3.83825395196195e-29,0.0846097690341663,1,1,5.97923200636633e-25
"Slc9a9",3.84460620260348e-29,-0.126935303766412,1,1,5.98912754241571e-25
"Letm1",4.03298154579455e-29,0.413230128815991,1,1,6.28257865203875e-25
"Zbtb38",4.35959308758996e-29,-0.390496466243093,1,1,6.79137411184763e-25
"Sult5a1",4.6192773780372e-29,0.249921983089457,1,1,7.19591029950634e-25
"Mrgprf",4.73159597686729e-29,-0.158155741021172,1,1,7.37088021276386e-25
"Aldh2",4.84172225802631e-29,0.536266150344516,1,1,7.54243493355339e-25
"Otud6b",5.00833059911067e-29,0.45940776206606,1,1,7.8019774072946e-25
"4932438H23Rik",5.01918303080824e-29,0.042087429432861,1,1,7.81888332539308e-25
"Ap3m1",5.10958873882571e-29,-0.357036374944027,1,1,7.95971733734269e-25
"Tnfsf9",5.24213232743171e-29,-0.248158938102021,1,1,8.16619373967311e-25
"Wdr60",5.49641792125747e-29,0.31758923431297,1,1,8.56231983773488e-25
"Kif3c",5.58896909717167e-29,-0.15505795213007,1,1,8.70649605957402e-25
"Vapa",5.61710308121021e-29,-0.755097497688887,1,1,8.75032317990926e-25
"Fbxw9",5.80166033094629e-29,-0.258109121695504,1,1,9.03782646354813e-25
"Rpain",5.81551938268213e-29,-0.381379102638139,1,1,9.05941609434222e-25
"AW112010",5.98975271190393e-29,0.491474853270957,1,1,9.33083677460394e-25
"Fan1",6.18322673286264e-29,0.102184132247005,1,1,9.63223060445343e-25
"Gm17259",6.24284043050719e-29,0.101593655209022,1,1,9.72509682264411e-25
"Il1rap",6.28596461162047e-29,-0.42371156234332,1,1,9.79227567198237e-25
"Tpd52l2",7.07961381334112e-29,-0.405762969340434,1,1,1.10286223984228e-24
"Wars2",7.09383731434792e-29,0.185045495974154,1,1,1.10507797682912e-24
"Bvht",7.37878406075445e-29,0.256566029808774,1,1,1.14946698098433e-24
"Ccdc66",7.58785066317016e-29,-0.235824701889165,1,1,1.18203537630865e-24
"Bcl2",7.61414475564139e-29,-0.304705690812568,1,1,1.18613147003382e-24
"Ttll4",7.99681407670024e-29,0.253110447175178,1,1,1.24574369686836e-24
"Aldh9a1",8.43419055668054e-29,0.437120817355468,1,1,1.31387820491969e-24
"Ikzf2",8.7873762836206e-29,-0.18143185916251,1,1,1.36889747746242e-24
"Klc1",9.08332403323894e-29,-0.392514151589039,1,1,1.41500021789796e-24
"Zc3h7b",9.11812983531943e-29,-0.281596861525015,1,1,1.42042226574606e-24
"Ptov1",9.26568308650792e-29,-0.685111608106115,1,1,1.4434081112162e-24
"Aida",9.2894386096466e-29,-0.605073192934187,1,1,1.44710874661075e-24
"Fam207a",9.32207650588051e-29,-0.339378029923567,1,1,1.45219307808607e-24
"Ube4a",9.66866116945986e-29,0.304926563163301,1,1,1.50618403697846e-24
"Ablim2",1.00443225069408e-28,0.0715645592792169,1,1,1.56470456013123e-24
"Rab2a",1.00755070343881e-28,-0.642902351502763,1,1,1.56956248581698e-24
"Mfsd1",1.02384577680939e-28,-0.387148429098043,1,1,1.59494695111366e-24
"Dmwd",1.03780494058447e-28,-0.289960583370208,1,1,1.61669253644248e-24
"Pgm2",1.0432393645809e-28,-0.261767931151685,1,1,1.62515828214412e-24
"Kcnma1",1.06426878973448e-28,-0.135688824834202,1,1,1.65791792064838e-24
"Fancm",1.07610647898818e-28,0.248829168588504,1,1,1.67635867296779e-24
"Zbp1",1.08185592542062e-28,-0.734533384026696,1,1,1.68531516062024e-24
"Dffa",1.12623239227776e-28,0.215508605951182,1,1,1.75444482069029e-24
"Adra1b",1.16392009690962e-28,-0.0798897167500303,1,1,1.81315472696581e-24
"Primpol",1.18015036566188e-28,0.172960554268274,1,1,1.83843823962807e-24
"Rybp",1.19262947828221e-28,-0.344627534792253,1,1,1.85787820126803e-24
"Tcirg1",1.21938267979772e-28,-0.340659813780928,1,1,1.89955433858889e-24
"Bcl9l",1.25216884534103e-28,0.446487996740906,1,1,1.95062862727226e-24
"2700049A03Rik",1.29498305061961e-28,0.188182992460081,1,1,2.01732459625522e-24
"Ciao2b",1.29859764791606e-28,-0.646990315184164,1,1,2.02295541592364e-24
"Col18a1",1.34140846502948e-28,0.556278986371023,1,1,2.08964610682292e-24
"Zfp36l1",1.34311736234076e-28,0.521723299793978,1,1,2.09230822705444e-24
"Parn",1.42431194669366e-28,0.233891256473878,1,1,2.21879315055938e-24
"Ldah",1.47424363229714e-28,0.264109868221161,1,1,2.29657673039248e-24
"Mgat1",1.49211391390908e-28,-0.36050178437097,1,1,2.32441505508757e-24
"Prelid2",1.52035715839128e-28,-0.589071579908656,1,1,2.36841238134194e-24
"Ube2d2a",1.52735059754877e-28,-0.548254495892302,1,1,2.37930676086147e-24
"Lnpep",1.53958642620931e-28,0.649629428230754,1,1,2.39836773474886e-24
"Dnase2a",1.59588908751464e-28,-0.250799883659938,1,1,2.48607602053031e-24
"Mbnl1",1.60880482752347e-28,0.519106025120661,1,1,2.50619616031606e-24
"Ift88",1.67275666989558e-28,0.305742872275832,1,1,2.60582034036333e-24
"Ppig",1.67404360566985e-28,-0.414142008920591,1,1,2.60782512891249e-24
"Polr1b",1.70321234264014e-28,0.277965735189757,1,1,2.65326418736481e-24
"Abhd3",1.73926033149948e-28,0.082944843176304,1,1,2.70941974440989e-24
"4833420G17Rik",1.80778432180152e-28,0.352456152308458,1,1,2.8161664165024e-24
"Uty",1.82858226726106e-28,0.282803473625557,1,1,2.84856545593928e-24
"Smpdl3b",1.931913825302e-28,-0.0892507227484283,1,1,3.00953535705546e-24
"Spata6",2.18424866131161e-28,-0.24450193832039,1,1,3.40262256459122e-24
"Atp8b4",2.22676981695745e-28,-0.0777921396060524,1,1,3.46886202085632e-24
"Iqcc",2.2398903280434e-28,0.204079710293996,1,1,3.48930115302601e-24
"Pqlc1",2.29183429313765e-28,-0.282705578426439,1,1,3.57021946184983e-24
"Clta",2.29813915139886e-28,-0.760267988399639,1,1,3.58004117004915e-24
"Mrps2",2.3069459712445e-28,0.238442224358998,1,1,3.59376043400468e-24
"Plxna3",2.32041345133882e-28,-0.119919860260202,1,1,3.61474007449562e-24
"Inf2",2.38471589608887e-28,-0.387256891583617,1,1,3.71491042292724e-24
"Slc6a7",2.40324175299175e-28,-0.0837709367996531,1,1,3.74377000281056e-24
