"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm47547",0.758415648412658,1.32462645016586,0.011,0.011,1
"9130221H12Rik",0.758577738701384,0.605984824945434,0.053,0.052,1
"Ednra",0.758972551709089,0.878837266936481,0.052,0.055,1
"Nedd1",0.759871660681763,0.378653022646669,0.236,0.256,1
"Pdss1",0.762641446990562,0.443266178639961,0.128,0.135,1
"Hipk3",0.763957902012634,0.184188372415486,0.434,0.475,1
"Cdkn1b",0.767760707971447,0.314012641627323,0.483,0.551,1
"Ccdc157",0.768189667826244,0.495805803788437,0.065,0.069,1
"Gm43378",0.771040138125342,0.258564709004451,0.019,0.018,1
"Prpf18",0.772770418290812,0.216208895441203,0.256,0.274,1
"Gm33051",0.773019616471623,-0.148745296759887,0.014,0.013,1
"Selenoo",0.773280594777381,0.335047016572917,0.168,0.179,1
"Kbtbd6",0.77349715207114,1.24861555472875,0.014,0.015,1
"Gm50232",0.775585315167385,0.75096027854596,0.023,0.022,1
"Lrrc4",0.775906100676245,0.521005526174963,0.012,0.013,1
"Ccnd2",0.776194777530576,0.100266777403449,0.782,0.79,1
"Nt5c2",0.776369784076792,0.361490112831013,0.217,0.232,1
"A930001C03Rik",0.777079501759552,0.40212172891559,0.01,0.011,1
"Dnajc5",0.777829354283498,0.123546182068577,0.521,0.57,1
"Rwdd2a",0.778736882808971,0.443543986503377,0.039,0.038,1
"Phf11c",0.779550654499366,0.159768684988419,0.01,0.011,1
"Gm47469",0.779942155308116,0.690566212071394,0.015,0.016,1
"Rpgrip1l",0.78030231557159,0.268036470028258,0.158,0.171,1
"Rexo5",0.780678356501307,0.424568481771481,0.052,0.051,1
"Carmn",0.781222835551545,0.503133920117647,0.118,0.126,1
"Zfp868",0.781253113417955,0.569239888870676,0.073,0.077,1
"Palm3",0.783005836652187,1.11387286019907,0.014,0.015,1
"Dna2",0.784097107134432,0.848503783142855,0.07,0.07,1
"Ndufaf7",0.784607238695874,0.263907546978137,0.307,0.333,1
"Gpd1l",0.784922579670286,0.115334269300714,0.135,0.137,1
"Il6st",0.786240692574101,0.103278131628756,0.713,0.73,1
"Slc25a29",0.787074084942806,0.563820967814444,0.029,0.029,1
"Srrt",0.787818133641572,0.258804147345699,0.473,0.529,1
"2610020C07Rik",0.787863480924863,0.13075869389576,0.041,0.043,1
"Ghitm",0.788130460506768,0.387533670350521,0.748,0.814,1
"Rptor",0.788559237074763,0.339523646596233,0.208,0.224,1
"Map3k13",0.789426674702708,0.92895252891916,0.012,0.011,1
"Blm",0.789853083107637,0.612283451149184,0.183,0.199,1
"2810455O05Rik",0.789899448761739,0.612384451655655,0.017,0.018,1
"Slc16a12",0.792816347908786,-0.430745413519812,0.021,0.021,1
"Ermard",0.795362911975822,0.536207789942559,0.079,0.082,1
"Zfp850",0.795414420292813,0.734492644493388,0.041,0.043,1
"Ppip5k1",0.796353152395822,0.790916773088935,0.083,0.083,1
"Phf3",0.796815571093663,0.145719880370661,0.622,0.668,1
"Gtf2i",0.797772068001381,0.154643598012143,0.511,0.566,1
"Col23a1",0.799191563264892,0.927769826122518,0.016,0.017,1
"Nutf2-ps1",0.800878660152213,0.443508976572955,0.041,0.043,1
"1110035H17Rik",0.801972125433344,0.795532911436601,0.014,0.014,1
"Slc25a53",0.802888624764253,0.664352905670929,0.044,0.044,1
"Socs2",0.803730932610199,0.348803472207361,0.322,0.344,1
"Twist1",0.80409731860216,0.187795044522808,0.572,0.595,1
"Usp16",0.804481699153521,0.158321290742142,0.526,0.585,1
"Spaca1",0.804862822406911,0.441188821293544,0.032,0.031,1
"Gm16675",0.8049709096332,0.6336970226915,0.011,0.012,1
"Uqcc1",0.805882051772417,0.598552219242046,0.209,0.226,1
"Hoxa5",0.807322464490803,0.797069510379376,0.078,0.078,1
"Dido1",0.807480413950115,0.167088382621254,0.361,0.397,1
"Tubg1",0.807864620755163,0.183738502032764,0.387,0.413,1
"Rbm10",0.808115799365873,0.343179872493068,0.297,0.321,1
"Rb1",0.80825310046214,0.233950996443562,0.208,0.215,1
"Trpt1",0.809126310285004,0.500624119791035,0.065,0.065,1
