"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Retreg23",2.88062238916441e-07,0.208449834378049,0.463,0.355,0.00594963748258017,"7","Retreg2"
"Trmt10b3",2.97382159582286e-07,0.803810380331333,0.199,0.127,0.00614213112401253,"7","Trmt10b"
"Casp91",2.98573607717528e-07,0.511684904010467,0.15,0.086,0.00616673929379783,"7","Casp9"
"Nlk2",3.13532552189878e-07,0.502812322289703,0.269,0.184,0.00647570133292974,"7","Nlk"
"Vps82",3.15151532700185e-07,0.244404818961162,0.253,0.166,0.00650913975638963,"7","Vps8"
"Fig41",3.27278478288761e-07,0.537418568799764,0.221,0.142,0.00675960969057607,"7","Fig4"
"Lsm62",3.32176657335401e-07,0.111400172389415,0.709,0.563,0.00686077668060536,"7","Lsm6"
"Lsm72",3.4284526225444e-07,0.115453002985661,0.593,0.474,0.0070811260466032,"7","Lsm7"
"Acyp11",3.45157959800393e-07,0.209380987173546,0.394,0.289,0.00712889250171731,"7","Acyp1"
"Ctns2",3.70552327520301e-07,0.393892371860154,0.175,0.106,0.00765338777260429,"7","Ctns"
"Hmbs3",3.90335353129197e-07,0.164643453940801,0.51,0.395,0.00806198638353043,"7","Hmbs"
"Mto12",3.92384556638455e-07,0.348777134186881,0.222,0.145,0.00810431063281065,"7","Mto1"
"Camk2g2",3.98748899808157e-07,0.156101616722028,0.378,0.271,0.00823575977663768,"7","Camk2g"
"Fancl2",4.11137571646684e-07,0.550313858667,0.222,0.145,0.00849163540479061,"7","Fancl"
"Cdc14b3",4.12768723667305e-07,0.241647989163222,0.212,0.134,0.00852532521862452,"7","Cdc14b"
"Mrpl162",4.35680592467543e-07,0.140832178242523,0.541,0.431,0.00899854695682463,"7","Mrpl16"
"Hdac52",4.37180907571896e-07,0.275860802936257,0.32,0.226,0.00902953446498994,"7","Hdac5"
"Dnajc141",4.50138086841631e-07,0.165943174341783,0.401,0.302,0.00929715204562705,"7","Dnajc14"
"Sorbs32",4.52372341090227e-07,0.474610854823259,0.157,0.091,0.00934329833287755,"7","Sorbs3"
"Larp72",4.76522247241955e-07,0.131989509380916,0.515,0.388,0.00984209049453534,"7","Larp7"
"Morf4l14",4.78599606262178e-07,0.102713781380149,0.975,0.834,0.00988499626773903,"7","Morf4l1"
"Mcm52",4.81508616143225e-07,0.309004638672566,0.358,0.254,0.00994507895782217,"7","Mcm5"
"Atg4a",4.83631392815114e-07,0.348256462198683,0.141,0.08,0.00998892278720337,"7","Atg4a"
"Gpatch2l1",4.91565756218027e-07,0.35119339150227,0.183,0.112,0.0101527991289271,"7","Gpatch2l"
"Numb2",4.92621454604385e-07,0.320926395683851,0.257,0.173,0.010174603523399,"7","Numb"
"Pih1d13",5.02047156232402e-07,0.203549896352842,0.579,0.458,0.010369281964824,"7","Pih1d1"
"Ddx311",5.16999609412018e-07,0.713536429636718,0.123,0.067,0.0106781099327958,"7","Ddx31"
"Ino80c2",5.24448075782132e-07,0.426696303478693,0.277,0.189,0.0108319505572042,"7","Ino80c"
"Fam76a2",5.26902120359121e-07,0.124089689039186,0.579,0.459,0.0108826363938973,"7","Fam76a"
"Ppp1r9b2",5.27499692737163e-07,0.309183116240261,0.389,0.294,0.0108949786537934,"7","Ppp1r9b"
"Hars4",5.31652049272183e-07,0.122175925725463,0.618,0.491,0.0109807414256677,"7","Hars"
"Mov102",5.32433240940101e-07,0.56310366860932,0.15,0.087,0.0109968761583768,"7","Mov10"
"Slc41a32",5.60732087859494e-07,0.544105039046175,0.183,0.112,0.01158136054265,"7","Slc41a3"
"Rrp362",5.62701978806441e-07,0.301705185887554,0.363,0.267,0.0116220466702682,"7","Rrp36"
"Acbd63",5.65790039820968e-07,0.120608239776897,0.723,0.589,0.0116858274824623,"7","Acbd6"
"Usp54",5.66481244780465e-07,0.105632632734681,0.519,0.404,0.0117001036296957,"7","Usp5"
"Glmn1",5.76930933956095e-07,0.321975004954717,0.28,0.193,0.0119159315099292,"7","Glmn"
"B230307C23Rik1",5.80217696599513e-07,0.494085968240546,0.188,0.118,0.0119838163055663,"7","B230307C23Rik"
"Get43",5.82472010897674e-07,0.123321622292188,0.468,0.355,0.0120303769130806,"7","Get4"
"Rexo43",5.96953282425569e-07,0.1854512969763,0.369,0.269,0.0123294730952177,"7","Rexo4"
"Exoc73",6.00515079673286e-07,0.238240665273613,0.351,0.253,0.012403038455572,"7","Exoc7"
"Rmdn12",6.11155252964313e-07,0.126612002081617,0.288,0.196,0.0126228005947249,"7","Rmdn1"
"Scyl22",6.26482156124781e-07,0.293163743740327,0.278,0.19,0.0129393624526012,"7","Scyl2"
"Rab40c2",6.29648785277068e-07,0.577800947702978,0.174,0.107,0.0130047660111126,"7","Rab40c"
"Mark22",6.43046522516156e-07,0.108346839190355,0.492,0.381,0.0132814828760487,"7","Mark2"
"Ccdc323",6.67759756116455e-07,0.224047593041538,0.387,0.286,0.0137919100028293,"7","Ccdc32"
"Rab293",6.75560299233072e-07,0.118953404947421,0.264,0.175,0.0139530224203599,"7","Rab29"
"3830406C13Rik3",6.99457726721434e-07,0.145812881592208,0.407,0.307,0.0144465998877045,"7","3830406C13Rik"
"Hist3h2a2",7.13095416252693e-07,0.263901433708527,0.208,0.133,0.0147282727272831,"7","Hist3h2a"
"Gpn21",7.24423565181046e-07,0.370372195018879,0.23,0.15,0.0149622443152493,"7","Gpn2"
"Vps4a3",7.57134056906832e-07,0.168091935017516,0.486,0.385,0.0156378468113537,"7","Vps4a"
"Mapk73",7.57211351906643e-07,0.519734432154033,0.217,0.142,0.0156394432622798,"7","Mapk7"
"Pomk2",7.74147043309532e-07,0.779526833155156,0.172,0.106,0.0159892330325151,"7","Pomk"
"Asf1b2",7.83800667464785e-07,0.827403613034316,0.277,0.199,0.0161886189858177,"7","Asf1b"
"Mindy32",8.24380006077157e-07,0.117513765718313,0.378,0.284,0.0170267446455176,"7","Mindy3"
"Lrrk13",8.24689970918904e-07,0.152817974930982,0.268,0.177,0.0170331466593591,"7","Lrrk1"
"Gm265322",8.34582369325367e-07,0.333119728310284,0.148,0.086,0.0172374642560461,"7","Gm26532"
"Rmi13",8.56729301650464e-07,0.262893290177846,0.302,0.213,0.0176948869962887,"7","Rmi1"
"Ckap52",8.8006765942681e-07,0.156060331841533,0.575,0.463,0.0181769174378013,"7","Ckap5"
"Sp22",8.90622684407997e-07,0.701336223988635,0.175,0.109,0.0183949209237628,"7","Sp2"
"Gskip4",9.99042788093579e-07,0.188106111174421,0.335,0.243,0.0206342297452848,"7","Gskip"
"Pes12",1.00136346182423e-06,0.139374358480141,0.517,0.405,0.0206821609405177,"7","Pes1"
"Fbxw172",1.00771287990965e-06,0.595804796340546,0.233,0.153,0.0208133018216539,"7","Fbxw17"
"Helb1",1.05247860094607e-06,0.351376351413244,0.275,0.19,0.02173789302394,"7","Helb"
"Tceanc22",1.06346596114204e-06,0.414586820164181,0.266,0.187,0.0219648259614277,"7","Tceanc2"
"Ada2",1.1484450819419e-06,0.564523531272306,0.134,0.075,0.0237199847224279,"7","Ada"
"Gstt32",1.16467496154682e-06,0.561613444968962,0.141,0.081,0.0240551966557881,"7","Gstt3"
"Stat5b2",1.16509322308342e-06,0.685908552944462,0.219,0.145,0.024063835429565,"7","Stat5b"
"Rapgef13",1.21593355351956e-06,0.187562143186307,0.331,0.236,0.025113891614393,"7","Rapgef1"
"Wdr742",1.26218391593793e-06,0.107850888999335,0.505,0.396,0.0260691465997821,"7","Wdr74"
